Designator,Footprint,Quantity,Value,LCSC Part #
A1,LattePanda_Module_H8.0mm_Horizontal,1,LattePanda_Mu,
A2,RaspberryPi_Pico_Common_THT,1,RaspberryPi_Pico_W,
BT1,Battery_Holder_CR1220_S8411-45R,1,Battery_Cell,
"C1, C414, C415",0402,3,0.1uF,
"C10, C12, C8, C9",1206,4,"22uF, 25V",
"C100, C101",0402,2,9p,AC0402CRNPO9BN9R0
"C102, C103, C104, C105, C106, C107, C108, C110, C111, C114, C115, C116, C117, C119, C120, C121, C122, C124, C125, C130, C131, C132, C134, C135, C136, C137, C138, C139, C140, C141, C142, C143, C144, C145, C146, C147, C148, C149, C150, C151, C153, C155, C156, C157, C158, C96, C97, C98, C99",0402,49,u1,TMK105BJ104KV-F
"C109, C112, C113, C118, C126, C127, C128, C129, C133, C152, C159, C95",0603,12,4u7,LMK107BJ475KAHT
"C11, C14, C16, C18, C20, C22, C24, C26, C28, C30, C32, C34, C36, C38",C_0402,14,0.1uF,
C123,CP_Elec_6.3x5.9,1,150u,A765EB157M1ALAE022
"C13, C15, C17, C19, C21, C23, C25, C27, C29, C31, C33, C35, C37, C39",C_0402,14,10nF,
C154,0402,1,1n 50V C0G,GCM1555C1H102JA16J
"C185, C186, C204, C205, C49, C50, C88, C89",0402,8,220nF/16V,
"C187, C188, C189, C190, C191, C192, C193, C194, C196, C198, C199, C201, C203, C207, C209, C65, C66, C67, C68, C69, C70, C71, C72, C73, C74, C75, C77, C80, C83, C84, C91, C93",0402,32,100nF/16V,
"C195, C197, C200, C202, C206, C208, C76, C90, C92",0402,9,10uF/10V,
C2,0805,1,10uF,
"C3, C4, C5, C6",0805,4,10uF 25V,
"C40, C41, C42",0402,3,1uF,
"C401, C405, C501, C524, C526, C527",0402,6,100nF/50V,
"C402, C529, C530",0402,3,47pF/50V,
"C403, C404, C523, C85, C87",0603,5,22uF/10V,
C408,0805,1,22uF/50V,
"C410, C411",0402,2,1uF/50V,
"C416, C417",0402,2,100uF,
C43,0402,1,10v 0.1uF,
"C44, C45, C46, C47, C48, C51, C52, C53",1210,8,10V 47uF,
"C503, C504",0402,2,47pF,
"C507, C509, C515, C517",0402,4,330n,
"C511, C513, C519, C521",0402,4,220n,
"C525, C531",0603,2,10uF/10V,
C528,0402,1,4.7uF/10V,
"C61, C62",C_0402,2,47pF,
"C63, C64",C_0402,2,1uF,
C7,CP_Elec_8x11.9,1,330uF 25V,
"C78, C79",0402,2,12pF/50V,
"D1, D2, D27",DIO_RCLAMP0524PATCT,3,RCLAMP0524PATCT,
"D10, D17, D21",0603,3,BLU,ORH-B36G
D11,0603,1,ORA,NCD0603O1
D12,0603,1,RED,NCD0603R1
D13,SOT-323_SC-70,1,BAT54AW,BAT54AW-7-F
D16,D_SOD-523,1,ESD5Z5.0T1G,ESD5Z5.0T1G
"D18, D20",0603,2,PNK,OSK40603C1E
"D19, D9",0603,2,WHT,NCD0603W1
"D22, D23",UDFN-14_3.5x1.35mm_P0.5mm,2,SP3012-06UTG,SP3012-06UTG
D24,D_SOD-323,1,CDSOD323-T36S,CDSOD323-T36S
"D25, D8",0603,2,GRN,NCD0603G1
D26,SOT-323_SC-70,1,BAT54CW,BAT54CW-7-F
"D3, D37, D38, D39, D4",0402,5,0402ESDA-05N,
D40,D_SOD-323,1,1N5819WS,
"D401, D402, D501, D502, D503, D504, D505, D506",0402,8,ESD5V0B03,
"D403, D7",0603,2,LED_G,
F1,0805,1,6V/2A,
F3,0805,1,6V/1A,
F6,0603,1,6V/50mA,
FB1,0805,1,0 ohm,
FB2,0402,1,"600R, 0.5A",BLM15PX601SZ1D
"H10, H11, H12, H13, H5_2, H5, H6, H7, H8, H9",MountingHole_2.7mm_Pad_TopOnly,10,MountingHole_M2.0,
J1,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"J2, J31, J34",PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyE,3,Bus_M.2_Socket_E,
J22,RJ45_UDE_RB1-125B8G1A,1,RJ45_RB1-125B8G1A,
J24,PCIe_M.2_Connectors_P=0.5mm_H=4.2mm_KeyM,1,Bus_M.2_Socket_M,
J26,Molex_KK-254_1x02_P2.54mm_Horizontal,1,Conn_01x02,22-05-3021
J27,PinHeader_2x22_P1.27mm_Vertical__SMD,1,PinHeader_2x22_P1.27mm,FTS-122-01-L-DV
J28,IDC-Header_2x10_P2.54mm_Horizontal,1,IDC-HEADER_2X10_P2.54MM_HORIZONTAL,
J32,HDMI_Micro-D_Molex_46765-2xxx,1,HDMI_D_1.4,
"J5, J6",PinHeader_1x01_P2.00mm_Horizontal,2,Conn_01x01_Socket,
J501,USB_C_Receptacle_Amphenol_12401610E4-2A,1,USB_C_Receptacle,
J7,USB3_A_Molex_48393-001,1,USB3_A,
J8,TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm,1,Conn_01x02_Socket,
L1,L_Coilcraft_XAL7070-XXX,1,550nH,
L401,L_6.3x6.3_H3,1,6.8uH/4.5A,
P1,TE_1775862-2,1,1775862-2,
"Q11, Q401",SOT-23,2,2N7002,
"Q12, Q13, Q14",SOT-23,3,2SK3018,
R1,0603,1,100K/1%,
"R120, R122, R133, R136, R137, R40",R_0402,6,2.2K/1%,
"R121, R33",R_0402,2,1M/1%,
"R123, R138, R142, R144, R145, R148, R37, R39",R_0402,8,0R/1%,
R124,R_0402,1,21.5K/1%,
"R125, R126, R127, R128, R131, R132, R134, R135, R34, R35",R_0402,10,470R/1%,
R129,R_0402,1,1K/1%,
"R139, R140, R146, R147, R149, R150, R30, R31",R_0402,8,10K/1%,
R16,0402,1,200k,
"R18, R507",0402,2,100k,
"R19, R20, R23",0402,3,0,
R21,0402,1,10,
"R22, R513",0402,2,10k,
"R25, R26",R_0402,2,2k,
R28,R_0402,1,887ohm +-1%,
R29,R_0402,1,500ohm +-1%,
R3,0603,1,1K/1%,
R32,0603,1,2.49K/1%,
"R401, R501, R503, R504, R510, R512",0402,6,100K/1%,
"R402, R514",0402,2,19.1K/1%,
"R405, R406, R407, R408",0402,4,1K/1%,
